"Timestamp","How many cigarette packs they were buying?","Did they buy the Marlboro Cigarettes?","Did you tell them about the Discount?","Did they know about discount before you told them?","Did they buy two Marlboro Cigarettes' after you tell them about the offer?","Were they new customer?","How many Marlboro Cigarettes' they bought in total? ","Comments"
"2021/03/18 9:31:22 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:31:39 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy "
"2021/03/18 9:36:08 PM AST","2","No","","","","","","Happy "
"2021/03/18 9:36:13 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:55:09 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:55:15 PM AST","1","No","","","","","","Neutral "
"2021/03/18 9:55:27 PM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/19 5:03:23 AM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/19 5:04:04 AM AST","1","No","","","","","","In hurry,  "
"2021/03/19 5:21:25 AM AST","2","No","","","","","","Neutral "
"2021/03/19 5:58:18 AM AST","2","Yes","Yes","Yes","Yes","No","2","Regular, neutral "
"2021/03/19 6:46:07 AM AST","1","Yes","Yes","Yes","No","No","1","Neutral "
"2021/03/19 7:46:02 AM AST","1","No","","","","","","Neutral "
"2021/03/19 8:01:30 AM AST","1","Yes","Yes","No","No","No","1","I smoke too much "
"2021/03/19 8:04:10 AM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/19 8:19:43 AM AST","2","No","","","","","","Happy "
"2021/03/19 8:19:49 AM AST","1","No","","","","","","Happy "
"2021/03/19 8:58:41 AM AST","1","No","","","","","","Happy "
"2021/03/19 9:21:54 AM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/19 9:22:03 AM AST","1","No","","","","","","Neutral "
"2021/03/20 3:41:52 PM AST","1","No","","","","","","Neutral "
"2021/03/20 3:42:03 PM AST","1","No","","","","","","Happy "
"2021/03/20 3:42:10 PM AST","1","No","","","","","","Neutral "
"2021/03/20 3:42:19 PM AST","4 and more","No","","","","","","Neutral "
